Ticker,Industry_ICB_L2
KCB,Tài nguyên Cơ bản
KDC,Thực phẩm và đồ uống
KDH,Bất động sản
KHG,Bất động sản
KOS,Bất động sản
KSB,Tài nguyên Cơ bản
KSF,Bất động sản
KSV,Tài nguyên Cơ bản
KVC,Tài nguyên Cơ bản
L14,Xây dựng và Vật liệu
L18,Xây dựng và Vật liệu
L40,Xây dựng và Vật liệu
LAS,Hóa chất
LBM,Xây dựng và Vật liệu
LCG,Xây dựng và Vật liệu
LDG,Bất động sản
LGL,Bất động sản
LHC,Xây dựng và Vật liệu
LHG,Bất động sản
LIC,Xây dựng và Vật liệu
LIG,Xây dựng và Vật liệu
LIX,Hàng cá nhân & Gia dụng
LSG,Bất động sản
LSS,Thực phẩm và đồ uống
LTG,Thực phẩm và đồ uống
MBG,Xây dựng và Vật liệu
MCG,Xây dựng và Vật liệu
MCH,Thực phẩm và đồ uống
MCM,Thực phẩm và đồ uống
MFS,Viễn thông
MHC,Hàng & Dịch vụ Công nghiệp
MIG,Bảo hiểm
MLS,Thực phẩm và đồ uống
MML,Thực phẩm và đồ uống
MPC,Thực phẩm và đồ uống
MSH,Hàng cá nhân & Gia dụng
MSN,Thực phẩm và đồ uống
MSR,Tài nguyên Cơ bản
MST,Xây dựng và Vật liệu
MTA,Tài nguyên Cơ bản
MVC,Xây dựng và Vật liệu
MWG,Bán lẻ
MZG,Tài nguyên Cơ bản
NAF,Thực phẩm và đồ uống
NAG,Hàng & Dịch vụ Công nghiệp
NBB,Bất động sản
NBC,Tài nguyên Cơ bản
NCT,Hàng & Dịch vụ Công nghiệp
NDN,Bất động sản
NED,Xây dựng và Vật liệu
NHA,Xây dựng và Vật liệu
NHH,Hóa chất
NKG,Tài nguyên Cơ bản
NLG,Bất động sản
NNC,Xây dựng và Vật liệu
NO1,Hàng & Dịch vụ Công nghiệp
NRC,Bất động sản
NT2,"Điện, nước & xăng dầu khí đốt"
NTC,Bất động sản
NTL,Bất động sản
NTP,Xây dựng và Vật liệu
NVL,Bất động sản
ODE,Truyền thông
OIL,Dầu khí
OPC,Y tế
PAC,Hàng & Dịch vụ Công nghiệp
PAN,Thực phẩm và đồ uống
PAT,Hóa chất
PC1,Xây dựng và Vật liệu
PCH,Hóa chất
PDR,Bất động sản
PET,Bán lẻ
PFL,Xây dựng và Vật liệu
PGV,"Điện, nước & xăng dầu khí đốt"
PHC,Xây dựng và Vật liệu
PHP,Hàng & Dịch vụ Công nghiệp
PHR,Hóa chất
PLC,Hóa chất
PLX,Dầu khí
PMC,Y tế
PNJ,Hàng cá nhân & Gia dụng
POM,Tài nguyên Cơ bản
POW,"Điện, nước & xăng dầu khí đốt"
PPC,"Điện, nước & xăng dầu khí đốt"
PPT,"Điện, nước & xăng dầu khí đốt"
PSD,Bán lẻ
PSW,Hóa chất
PTB,Tài nguyên Cơ bản
PTL,Bất động sản
PV2,Bất động sản
PVB,Dầu khí
PVC,Dầu khí
PVD,Dầu khí
PVI,Bảo hiểm
PVP,Hàng & Dịch vụ Công nghiệp
PVS,Dầu khí
PVT,Hàng & Dịch vụ Công nghiệp
PVX,Xây dựng và Vật liệu
PXL,Bất động sản
QCG,Bất động sản
QNS,Thực phẩm và đồ uống
QTP,"Điện, nước & xăng dầu khí đốt"
RAL,Hàng cá nhân & Gia dụng
REE,"Điện, nước & xăng dầu khí đốt"
RYG,Xây dựng và Vật liệu
S99,Xây dựng và Vật liệu
SAB,Thực phẩm và đồ uống
SAM,Công nghệ Thông tin
SAS,Bán lẻ
SBG,Hàng & Dịch vụ Công nghiệp
SBT,Thực phẩm và đồ uống
SCG,Xây dựng và Vật liệu
SCL,Xây dựng và Vật liệu
SCR,Bất động sản
SCS,Du lịch và Giải trí
SEA,Thực phẩm và đồ uống
SGN,Hàng & Dịch vụ Công nghiệp
SGP,Hàng & Dịch vụ Công nghiệp
SGR,Bất động sản
SGT,Công nghệ Thông tin
SHI,Tài nguyên Cơ bản
SHN,Tài nguyên Cơ bản
SIP,Bất động sản
SJD,"Điện, nước & xăng dầu khí đốt"
SJE,Xây dựng và Vật liệu
SJS,Bất động sản
SKG,Du lịch và Giải trí
SLS,Thực phẩm và đồ uống
SMB,Thực phẩm và đồ uống
SMC,Tài nguyên Cơ bản
SSH,Bất động sản
ST8,Công nghệ Thông tin
STH,Truyền thông
STK,Hàng cá nhân & Gia dụng
SVN,Xây dựng và Vật liệu
SZB,Bất động sản
SZC,Bất động sản
SZL,Bất động sản
TAL,Bất động sản
TCD,Xây dựng và Vật liệu
TCH,Bất động sản
TCL,Hàng & Dịch vụ Công nghiệp
TCM,Hàng cá nhân & Gia dụng
TCO,Thực phẩm và đồ uống
TD6,Tài nguyên Cơ bản
TDC,Bất động sản
TDH,Bất động sản
TDM,"Điện, nước & xăng dầu khí đốt"
TDP,Hàng & Dịch vụ Công nghiệp
TEG,Bất động sản
THG,Xây dựng và Vật liệu
TIG,Bất động sản
TIP,Bất động sản
TL4,Xây dựng và Vật liệu
TLD,Bất động sản
TLG,Hàng cá nhân & Gia dụng
TLH,Tài nguyên Cơ bản
TNC,Hóa chất
TNG,Hàng cá nhân & Gia dụng
TNH,Y tế
